15.05.2022 23:28:35,22,12,82,Duze,Wschod
16.05.2022 00:28:35,16,38,36,Brak,Polnosc
16.05.2022 01:28:35,28,6,24,Male,Zachod
16.05.2022 02:28:35,23,37,80,Brak,Zachod
16.05.2022 03:28:35,18,37,35,Male,Polnosc
16.05.2022 04:28:35,34,33,82,Brak,Poludnie
16.05.2022 05:28:35,33,29,74,Srednie,Poludnie
16.05.2022 06:28:35,15,30,71,Duze,Poludnie
16.05.2022 07:28:35,21,16,96,Srednie,Polnosc
16.05.2022 08:28:35,30,16,53,Duze,Wschod
16.05.2022 09:28:35,23,11,84,Brak,Polnosc
16.05.2022 10:28:35,29,1,68,Male,Poludnie
16.05.2022 11:28:35,17,3,67,Duze,Wschod
16.05.2022 12:28:35,32,24,51,Srednie,Zachod
16.05.2022 13:28:35,25,17,24,Brak,Polnosc
16.05.2022 14:28:35,15,7,42,Duze,Wschod
16.05.2022 15:28:35,20,14,60,Brak,Zachod
16.05.2022 16:28:35,24,0,69,Srednie,Poludnie
16.05.2022 17:28:35,30,23,95,Male,Polnosc
16.05.2022 18:28:35,25,20,34,Duze,Polnosc
16.05.2022 19:28:35,23,22,49,Brak,Polnosc
16.05.2022 20:28:35,30,1,53,Brak,Poludnie
16.05.2022 21:28:35,29,5,75,Duze,Wschod
16.05.2022 22:28:35,21,17,67,Srednie,Polnosc
16.05.2022 23:28:35,33,37,75,Male,Wschod
17.05.2022 00:28:35,32,20,51,Male,Polnosc
17.05.2022 01:28:35,17,8,55,Male,Wschod
17.05.2022 02:28:35,18,26,55,Male,Polnosc
17.05.2022 03:28:35,16,29,91,Duze,Poludnie
17.05.2022 04:28:35,16,37,21,Duze,Poludnie
17.05.2022 05:28:35,21,24,94,Male,Wschod
17.05.2022 06:28:35,17,6,75,Srednie,Poludnie
17.05.2022 07:28:35,20,9,59,Male,Poludnie
17.05.2022 08:28:35,30,10,38,Duze,Zachod
17.05.2022 09:28:35,25,8,64,Brak,Wschod
17.05.2022 10:28:35,26,17,95,Duze,Wschod
17.05.2022 11:28:35,22,9,34,Brak,Poludnie
17.05.2022 12:28:35,23,20,24,Srednie,Wschod
17.05.2022 13:28:35,15,27,47,Male,Zachod
17.05.2022 14:28:35,15,23,43,Duze,Zachod
17.05.2022 15:28:35,27,32,75,Srednie,Zachod
17.05.2022 16:28:35,34,36,89,Srednie,Polnosc
17.05.2022 17:28:35,34,20,91,Brak,Zachod
17.05.2022 18:28:35,32,16,45,Male,Polnosc
17.05.2022 19:28:35,27,3,86,Brak,Polnosc
17.05.2022 20:28:35,23,11,96,Duze,Zachod
17.05.2022 21:28:35,22,8,42,Male,Poludnie
17.05.2022 22:28:35,20,10,74,Duze,Poludnie
17.05.2022 23:28:35,24,8,46,Srednie,Poludnie
18.05.2022 00:28:35,30,36,54,Male,Wschod
18.05.2022 01:28:35,25,12,29,Brak,Zachod
18.05.2022 02:28:35,23,39,91,Male,Zachod
18.05.2022 03:28:35,16,37,78,Male,Polnosc
18.05.2022 04:28:35,18,38,85,Srednie,Zachod
